,Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,État,Boîte à vitesses,Prix,average_km
0,4,16,1.3598952454215416,0,-1.009232749296055,0.3171049598406735,1,0,0.26692757214865365,-1.6293122585023205
2,2,0,-0.5203717105582829,1,-0.5832173910272536,-3.15352998736582,0,1,-0.8759137141205767,-0.709290143746218
4,8,2,-2.165605297040629,1,-1.009232749296055,0.3171049598406735,2,1,-1.035911494198269,-2.779339901947449
13,1,8,1.1248618759240636,0,-1.009232749296055,0.3171049598406735,1,1,-0.6747736477371922,-0.4217832328849359
14,5,14,-0.2853383410608048,0,-0.157202032758452,0.3171049598406735,1,0,-0.30449307098596157,0.2682333531821411
17,1,8,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.8256286975247307,1.6482665253162951
18,3,6,-3.1057387750305416,1,-0.157202032758452,0.3171049598406735,2,1,-1.0679110502138074,0.7282444105601924
20,1,3,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.7387727597682692,0.2682333531821411
21,1,8,0.41976176743162935,1,-0.5832173910272536,0.3171049598406735,2,1,-0.8759137141205767,0.038227824493115424
23,9,10,0.1847283979341513,0,-0.157202032758452,0.3171049598406735,1,0,-0.38220627845226923,0.4982388818711667
24,7,13,-0.2853383410608048,0,-1.009232749296055,0.3171049598406735,2,1,-0.4736335813538077,1.4182609966272695
25,4,16,0.1847283979341513,0,-0.157202032758452,0.3171049598406735,1,0,-0.14449529090826932,-0.5942873794017052
26,8,7,-0.05030497156332676,0,-1.009232749296055,0.3171049598406735,1,1,-0.6793450128822691,-0.8242929080907307
28,10,5,1.1248618759240636,0,-0.157202032758452,0.3171049598406735,1,0,0.244070746423269,-1.8593177871913462
29,2,0,-0.05030497156332676,0,-1.009232749296055,0.3171049598406735,2,1,-0.8393427929599614,-1.0542984367797565
30,8,9,-1.9305719275431512,0,-0.5832173910272536,-3.15352998736582,0,1,-0.921627365571346,1.1882554679382438
31,0,12,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,2.2554714102571145,0.038227824493115424
32,6,1,0.41976176743162935,0,0.2688133255103496,0.3171049598406735,1,0,0.5412094808532689,-0.709290143746218
33,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,0.7926345638324996,-0.19177770419591023
34,8,2,0.8898285064265855,0,-1.009232749296055,-3.15352998736582,2,1,-0.6290599962864231,-0.4217832328849359
35,0,11,0.8898285064265855,1,0.2688133255103496,0.3171049598406735,1,0,1.7480498791535761,-1.2843039654687822
36,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.3823406675474226,-0.709290143746218
37,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.3869120326924995,-0.709290143746218
38,5,15,-1.6955385580456732,0,1.5468594003167544,0.3171049598406735,2,0,-0.7387727597682692,2.338283111383372
39,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.656622576252038,0.038227824493115424
48,1,8,1.1248618759240636,0,-1.009232749296055,0.3171049598406735,1,1,-0.6747736477371922,-0.4217832328849359
49,5,14,-0.2853383410608048,0,-0.157202032758452,0.3171049598406735,1,0,-0.30449307098596157,0.2682333531821411
52,1,8,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.8256286975247307,1.6482665253162951
53,3,6,-3.1057387750305416,1,-0.157202032758452,0.3171049598406735,2,1,-1.0679110502138074,0.7282444105601924
55,1,3,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.7387727597682692,0.2682333531821411
56,1,8,0.41976176743162935,1,-0.5832173910272536,0.3171049598406735,2,1,-0.8759137141205767,0.038227824493115424
58,9,10,0.1847283979341513,0,-0.157202032758452,0.3171049598406735,1,0,-0.38220627845226923,0.4982388818711667
59,7,13,-0.2853383410608048,0,-1.009232749296055,0.3171049598406735,2,1,-0.4736335813538077,1.4182609966272695
60,4,16,0.1847283979341513,0,-0.157202032758452,0.3171049598406735,1,0,-0.14449529090826932,-0.5942873794017052
61,8,7,-0.05030497156332676,0,-1.009232749296055,0.3171049598406735,1,1,-0.6793450128822691,-0.8242929080907307
63,10,5,1.1248618759240636,0,-0.157202032758452,0.3171049598406735,1,0,0.244070746423269,-1.8593177871913462
64,2,0,-0.05030497156332676,0,-1.009232749296055,0.3171049598406735,2,1,-0.8393427929599614,-1.0542984367797565
65,8,9,-1.9305719275431512,0,-0.5832173910272536,-3.15352998736582,0,1,-0.921627365571346,1.1882554679382438
66,0,12,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,2.2554714102571145,0.038227824493115424
67,6,1,0.41976176743162935,0,0.2688133255103496,0.3171049598406735,1,0,0.5412094808532689,-0.709290143746218
68,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,0.7926345638324996,-0.19177770419591023
69,8,2,0.8898285064265855,0,-1.009232749296055,-3.15352998736582,2,1,-0.6290599962864231,-0.4217832328849359
70,0,11,0.8898285064265855,1,0.2688133255103496,0.3171049598406735,1,0,1.7480498791535761,-1.2843039654687822
71,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.3823406675474226,-0.709290143746218
72,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.3869120326924995,-0.709290143746218
73,5,15,-1.6955385580456732,0,1.5468594003167544,0.3171049598406735,2,0,-0.7387727597682692,2.338283111383372
74,5,15,0.41976176743162935,0,1.5468594003167544,0.3171049598406735,1,0,1.656622576252038,0.038227824493115424
83,1,8,1.1248618759240636,0,-1.009232749296055,0.3171049598406735,1,1,-0.6747736477371922,-0.4217832328849359
84,5,14,-0.2853383410608048,0,-0.157202032758452,0.3171049598406735,1,0,-0.30449307098596157,0.2682333531821411
87,1,8,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.8256286975247307,1.6482665253162951
88,3,6,-3.1057387750305416,1,-0.157202032758452,0.3171049598406735,2,1,-1.0679110502138074,0.7282444105601924
90,1,3,0.1847283979341513,0,-1.009232749296055,0.3171049598406735,2,1,-0.7387727597682692,0.2682333531821411
91,1,8,0.41976176743162935,1,-0.5832173910272536,0.3171049598406735,2,1,-0.8759137141205767,0.038227824493115424
